rno	uno	mno	date	time	adult	Teenager	senior	seat	coupon	price
6512	16	30	2025-08-01	8:00:00	0	2	2	B02,B03,B04,B05	0	33600
6513	55	30	2025-08-01	20:00:00	0	1	1	F03,F04	0	24000
6514	15	30	2025-08-01	17:00:00	1	2	0	C02,C03,C04	2	38800
6515	38	30	2025-08-01	20:00:00	2	0	1	J01,J02,J03	1	28000
6516	14	30	2025-08-01	23:00:00	0	0	1	D05	2	6000
6517	72	30	2025-08-01	14:00:00	1	2	2	G04,G05,G06,G07,G08	0	66000
6518	49	30	2025-08-01	23:00:00	2	2	1	E05,E06,E07,E08,E09	1	56000
6519	34	21	2025-08-02	11:00:00	1	1	0	A01,A02	0	32000
6520	36	21	2025-08-02	14:00:00	2	1	1	F01,F02,F03,F04	1	42000
6521	87	21	2025-08-02	23:00:00	0	2	0	C04,C05	0	28000
6522	94	21	2025-08-02	23:00:00	2	2	0	D05,D06,D07,D08	0	64000
6523	73	21	2025-08-02	11:00:00	2	2	1	F03,F04,F05,F06,F07	1	56000
6524	77	12	2025-08-02	8:00:00	1	2	1	C05,C06,C07,C08	1	21200
6525	11	12	2025-08-02	11:00:00	1	0	1	G01,G02	1	10000
6526	43	12	2025-08-02	20:00:00	3	2	0	H04,H05,H06,H07,H08	1	64000
6527	25	21	2025-08-02	8:00:00	2	1	2	D05,D06,D07,D08,D09	2	41800
6528	20	21	2025-08-02	17:00:00	3	1	0	A01,A02,A03,A04	2	60800
6529	9	21	2025-08-02	23:00:00	2	1	2	F05,F06,F07,F08,F09	0	70000
6530	21	21	2025-08-02	20:00:00	0	1	2	E04,E05,E06	0	34000
6531	47	21	2025-08-02	17:00:00	0	2	2	D02,D03,D04,D05	2	42400
6532	69	21	2025-08-02	23:00:00	2	1	1	E03,E04,E05,E06	1	42000
6533	4	21	2025-08-02	14:00:00	0	1	2	C03,C04,C05	0	34000
6534	34	12	2025-08-02	14:00:00	3	0	1	A01,A02,A03,A04	1	46000
6535	84	12	2025-08-02	20:00:00	1	0	1	B03,B04	2	20800
6536	54	12	2025-08-02	23:00:00	3	1	0	B04,B05,B06,B07	1	50000
6537	60	21	2025-08-02	14:00:00	0	0	1	A04	1	0
6538	63	12	2025-08-02	23:00:00	1	2	2	C04,C05,C06,C07,C08	0	66000
6539	21	12	2025-08-02	8:00:00	2	2	1	H05,H06,H07,H08,H09	0	51800
6540	98	21	2025-08-02	17:00:00	3	0	0	D04,D05,D06	1	36000
6541	16	12	2025-08-02	20:00:00	3	0	2	B04,B05,B06,B07,B08	1	56000
6542	29	12	2025-08-02	23:00:00	0	2	1	C01,C02,C03	2	32400
6543	48	12	2025-08-02	11:00:00	2	1	0	D04,D05,D06	2	42800
6544	69	12	2025-08-02	14:00:00	0	1	0	A02	2	8400
6545	73	21	2025-08-02	20:00:00	2	1	1	C04,C05,C06,C07	0	60000
6546	24	21	2025-08-02	17:00:00	0	2	1	E01,E02,E03	0	38000
6547	57	12	2025-08-02	11:00:00	3	0	1	D01,D02,D03,D04	1	46000
6548	16	12	2025-08-02	14:00:00	3	2	0	G03,G04,G05,G06,G07	0	82000
6549	79	21	2025-08-02	20:00:00	0	2	1	C02,C03,C04	2	32400
6550	83	21	2025-08-02	23:00:00	3	1	0	C01,C02,C03,C04	0	68000
6551	78	12	2025-08-02	23:00:00	1	0	1	A02,A03	2	20800
6552	8	12	2025-08-02	17:00:00	2	0	2	C04,C05,C06,C07	1	38000
6553	2	21	2025-08-02	23:00:00	2	0	0	B04,B05	1	18000
6554	82	12	2025-08-02	23:00:00	2	0	0	G03,G04	1	18000
6555	24	12	2025-08-02	11:00:00	1	1	0	B04,B05	1	14000
6556	64	12	2025-08-02	17:00:00	1	0	1	B02,B03	1	10000
6557	15	21	2025-08-02	17:00:00	1	2	1	C01,C02,C03,C04	1	38000
6558	77	21	2025-08-02	20:00:00	3	0	2	B04,B05,B06,B07,B08	0	74000
6559	41	21	2025-08-02	23:00:00	2	0	0	E04,E05	0	36000
6560	44	12	2025-08-02	8:00:00	1	2	0	G01,G02,G03	0	32200
6561	47	12	2025-08-02	14:00:00	1	1	0	F04,F05	2	24800
6562	34	12	2025-08-02	14:00:00	2	1	0	H04,H05,H06	1	32000
6563	58	12	2025-08-02	8:00:00	2	2	0	E03,E04,E05,E06	1	26800
6564	20	12	2025-08-02	14:00:00	0	1	2	D01,D02,D03	2	28400
6565	62	21	2025-08-02	20:00:00	1	1	0	F01,F02	0	32000
6566	97	12	2025-08-02	8:00:00	3	0	1	C02,C03,C04,C05	2	37600
6567	86	12	2025-08-02	14:00:00	2	2	1	D03,D04,D05,D06,D07	2	66800
6568	60	13	2025-08-02	20:00:00	3	0	0	A03,A04,A05	2	46800
6569	9	13	2025-08-02	17:00:00	2	2	1	B01,B02,B03,B04,B05	2	66800
6570	59	13	2025-08-02	8:00:00	3	2	0	A03,A04,A05,A06,A07	1	39400
6571	88	13	2025-08-02	11:00:00	1	2	2	D05,D06,D07,D08,D09	2	58800
6572	33	13	2025-08-02	17:00:00	1	1	0	D01,D02	1	14000
6573	11	13	2025-08-02	11:00:00	3	1	0	B02,B03,B04,B05	1	50000
6574	67	13	2025-08-02	11:00:00	2	0	0	A02,A03	1	18000
6575	24	13	2025-08-02	8:00:00	3	1	1	A02,A03,A04,A05,A06	1	36600
6576	20	13	2025-08-02	11:00:00	2	0	2	D03,D04,D05,D06	1	38000
6577	43	13	2025-08-02	14:00:00	2	2	1	C01,C02,C03,C04,C05	0	74000
6578	2	13	2025-08-02	20:00:00	2	2	1	B02,B03,B04,B05,B06	1	56000
6579	61	13	2025-08-02	20:00:00	0	1	2	A04,A05,A06	0	34000
6580	54	13	2025-08-02	8:00:00	2	1	0	C01,C02,C03	1	17000
6581	45	13	2025-08-02	11:00:00	2	1	1	B02,B03,B04,B05	2	52800
6582	52	13	2025-08-02	11:00:00	0	2	0	B01,B02	1	14000
6583	14	13	2025-08-02	14:00:00	1	0	0	B03	0	18000
6584	42	13	2025-08-02	11:00:00	3	0	1	B05,B06,B07,B08	2	56800
6585	30	13	2025-08-02	20:00:00	2	2	1	A01,A02,A03,A04,A05	0	74000
6586	60	13	2025-08-02	11:00:00	0	0	2	A01,A02	0	20000
6587	7	13	2025-08-02	8:00:00	1	0	0	B03	1	0
6588	74	13	2025-08-02	17:00:00	3	1	0	B01,B02,B03,B04	1	50000
6589	96	13	2025-08-02	14:00:00	2	2	1	B03,B04,B05,B06,B07	1	56000
6590	94	13	2025-08-02	20:00:00	2	0	0	B05,B06	0	36000
6591	99	13	2025-08-02	14:00:00	0	1	0	B02	1	0
6592	22	13	2025-08-02	17:00:00	1	0	2	A04,A05,A06	1	20000
6593	68	13	2025-08-02	20:00:00	1	0	1	B03,B04	0	28000
6594	39	13	2025-08-02	11:00:00	3	0	0	C05,C06,C07	0	54000
6595	87	13	2025-08-02	17:00:00	0	2	1	C03,C04,C05	1	24000
6596	96	13	2025-08-02	8:00:00	0	2	1	C01,C02,C03	2	21000
6597	77	13	2025-08-02	11:00:00	3	2	0	C01,C02,C03,C04,C05	2	74800
6598	46	13	2025-08-02	14:00:00	1	0	1	B04,B05	2	20800
6599	89	13	2025-08-02	17:00:00	0	1	0	B01	1	0
6600	38	13	2025-08-02	17:00:00	2	1	1	A02,A03,A04,A05	1	42000
6601	41	13	2025-08-02	20:00:00	0	1	1	B01,B02	1	10000
6602	39	13	2025-08-02	23:00:00	0	2	1	B04,B05,B06	1	24000
6603	56	13	2025-08-02	11:00:00	3	2	0	A01,A02,A03,A04,A05	1	64000
6604	96	13	2025-08-02	20:00:00	3	0	0	A03,A04,A05	0	54000
6605	26	24	2025-08-02	14:00:00	2	0	0	B01,B02	1	18000
6606	87	24	2025-08-02	23:00:00	3	2	0	A04,A05,A06,A07,A08	0	82000
6607	27	24	2025-08-02	23:00:00	2	1	2	C02,C03,C04,C05,C06	0	70000
6608	8	24	2025-08-02	11:00:00	0	2	2	B04,B05,B06,B07	0	48000
6609	84	24	2025-08-02	14:00:00	2	2	0	D05,D06,D07,D08	0	64000
6610	49	24	2025-08-02	8:00:00	1	0	1	C03,C04	1	1600
6611	97	24	2025-08-02	23:00:00	1	2	0	A03,A04,A05	1	28000
6612	55	24	2025-08-02	23:00:00	2	0	1	C01,C02,C03	0	46000
6613	58	24	2025-08-02	23:00:00	2	0	0	C05,C06	0	36000
6614	28	24	2025-08-02	17:00:00	0	1	1	A05,A06	0	24000
6615	88	24	2025-08-02	14:00:00	2	0	1	B05,B06,B07	2	38800
6616	21	24	2025-08-02	23:00:00	0	1	1	C05,C06	0	24000
6617	3	24	2025-08-02	14:00:00	2	2	1	A05,A06,A07,A08,A09	2	66800
6618	75	24	2025-08-02	8:00:00	2	2	1	D05,D06,D07,D08,D09	1	33800
6619	69	24	2025-08-02	8:00:00	3	1	1	B05,B06,B07,B08,B09	1	36600
6620	39	24	2025-08-02	17:00:00	3	0	1	D04,D05,D06,D07	1	46000
6621	67	24	2025-08-02	20:00:00	2	2	0	C02,C03,C04,C05	1	46000
6622	37	24	2025-08-02	14:00:00	2	0	2	B04,B05,B06,B07	2	48800
6623	47	24	2025-08-02	11:00:00	2	0	0	B04,B05	2	28800
6624	9	24	2025-08-02	8:00:00	2	0	2	B02,B03,B04,B05	0	39200
6625	66	24	2025-08-02	8:00:00	0	0	1	D04	2	3000
6626	29	24	2025-08-02	23:00:00	2	1	0	D01,D02,D03	1	32000
6627	17	24	2025-08-02	17:00:00	0	2	1	D01,D02,D03	1	24000
6628	42	24	2025-08-02	8:00:00	1	0	2	B05,B06,B07	0	26600
6629	9	24	2025-08-02	20:00:00	2	1	0	B02,B03,B04	0	50000
6630	13	24	2025-08-02	14:00:00	1	1	0	C01,C02	2	24800
6631	12	24	2025-08-02	8:00:00	1	2	1	C03,C04,C05,C06	2	32000
6632	85	24	2025-08-02	8:00:00	0	1	2	A04,A05,A06	1	9800
6633	80	17	2025-08-02	11:00:00	3	0	0	B05,B06,B07	1	36000
6634	85	17	2025-08-02	14:00:00	3	2	0	I03,I04,I05,I06,I07	0	82000
6635	31	17	2025-08-02	14:00:00	2	0	0	F01,F02	0	36000
6636	26	17	2025-08-02	11:00:00	0	1	0	D04	0	14000
6637	25	17	2025-08-02	23:00:00	1	1	1	E04,E05,E06	2	34800
6638	60	17	2025-08-02	8:00:00	2	1	1	C05,C06,C07,C08	1	24000
6639	87	17	2025-08-02	11:00:00	0	2	2	A03,A04,A05,A06	2	42400
6640	93	17	2025-08-02	23:00:00	2	2	1	I05,I06,I07,I08,I09	0	74000
6641	43	17	2025-08-02	11:00:00	1	2	0	A05,A06,A07	1	28000
6642	48	17	2025-08-02	11:00:00	3	2	0	A01,A02,A03,A04,A05	2	74800
6643	18	17	2025-08-02	20:00:00	2	2	1	G04,G05,G06,G07,G08	0	74000
6644	28	17	2025-08-02	20:00:00	1	0	1	G05,G06	0	28000
6645	91	17	2025-08-02	14:00:00	2	0	2	B05,B06,B07,B08	0	56000
6646	94	17	2025-08-02	17:00:00	0	2	1	B02,B03,B04	0	38000
6647	23	17	2025-08-02	20:00:00	2	0	2	I04,I05,I06,I07	1	38000
6648	21	17	2025-08-02	14:00:00	2	2	1	F01,F02,F03,F04,F05	2	66800
6649	42	17	2025-08-02	17:00:00	3	1	0	B04,B05,B06,B07	0	68000
6650	13	17	2025-08-02	11:00:00	0	2	0	A04,A05	1	14000
6651	49	17	2025-08-02	14:00:00	3	2	0	G01,G02,G03,G04,G05	0	82000
6652	46	17	2025-08-02	20:00:00	1	1	1	D02,D03,D04	2	34800
6653	89	17	2025-08-02	11:00:00	2	0	0	D01,D02	0	36000
6654	60	17	2025-08-02	23:00:00	2	1	0	G03,G04,G05	2	42800
6655	23	17	2025-08-02	11:00:00	1	0	2	J04,J05,J06	1	20000
6656	44	17	2025-08-02	11:00:00	1	0	0	B05	2	10800
6657	36	17	2025-08-02	14:00:00	2	2	1	J04,J05,J06,J07,J08	0	74000
6658	12	17	2025-08-02	11:00:00	0	0	1	J04	1	0
6659	34	30	2025-08-02	14:00:00	1	2	2	J05,J06,J07,J08,J09	0	66000
6660	72	30	2025-08-02	8:00:00	1	0	2	D03,D04,D05	2	19400
6661	88	30	2025-08-02	14:00:00	2	0	1	G05,G06,G07	2	38800
6662	4	30	2025-08-02	17:00:00	1	0	2	D04,D05,D06	1	20000
6663	26	30	2025-08-02	20:00:00	3	0	1	A01,A02,A03,A04	2	56800
6664	42	30	2025-08-02	17:00:00	0	1	2	B02,B03,B04	2	28400
6665	4	30	2025-08-02	11:00:00	2	1	2	F04,F05,F06,F07,F08	1	52000
6666	83	30	2025-08-02	20:00:00	0	0	2	I05,I06	2	16000
6667	59	30	2025-08-02	17:00:00	3	0	1	B05,B06,B07,B08	2	56800
6668	16	30	2025-08-02	17:00:00	0	2	2	I01,I02,I03,I04	1	34000
6669	4	30	2025-08-02	20:00:00	3	0	1	F02,F03,F04,F05	2	56800
6670	92	30	2025-08-02	17:00:00	0	2	2	E05,E06,E07,E08	1	34000
6671	83	30	2025-08-02	20:00:00	3	0	0	F03,F04,F05	0	54000
6672	40	30	2025-08-02	14:00:00	0	2	0	G03,G04	1	14000
6673	32	30	2025-08-02	20:00:00	1	2	0	E03,E04,E05	2	38800
6674	15	30	2025-08-02	8:00:00	2	1	2	H01,H02,H03,H04,H05	2	41800
6675	73	30	2025-08-02	11:00:00	2	2	0	D01,D02,D03,D04	0	64000
6676	43	30	2025-08-02	14:00:00	1	1	1	F01,F02,F03	1	24000
6677	8	30	2025-08-02	17:00:00	2	0	2	C02,C03,C04,C05	0	56000
6678	59	30	2025-08-02	11:00:00	1	2	2	J01,J02,J03,J04,J05	2	58800
6679	17	30	2025-08-02	17:00:00	2	0	1	H01,H02,H03	1	28000
6680	73	30	2025-08-02	8:00:00	2	1	0	E05,E06,E07	1	17000
6681	40	30	2025-08-02	8:00:00	2	0	0	A05,A06	0	25200
6682	14	30	2025-08-02	8:00:00	0	1	0	A03	1	0
6683	52	30	2025-08-02	17:00:00	2	0	2	F05,F06,F07,F08	1	38000
6684	79	30	2025-08-02	14:00:00	2	2	0	C05,C06,C07,C08	1	46000
6685	55	30	2025-08-02	14:00:00	3	1	0	F04,F05,F06,F07	1	50000
6686	47	30	2025-08-02	8:00:00	1	0	1	B01,B02	2	12400
6687	16	30	2025-08-02	11:00:00	0	1	1	J01,J02	0	24000
6688	38	30	2025-08-02	14:00:00	0	1	1	G03,G04	2	18400
6689	86	30	2025-08-02	17:00:00	0	2	1	G05,G06,G07	1	24000
6690	6	30	2025-08-02	8:00:00	3	0	1	E01,E02,E03,E04	1	26800
6691	22	30	2025-08-02	17:00:00	1	0	0	E04	0	18000
6692	81	30	2025-08-02	11:00:00	2	0	2	F01,F02,F03,F04	0	56000
6693	13	30	2025-08-02	8:00:00	0	1	2	H01,H02,H03	0	23800
6694	43	30	2025-08-02	17:00:00	1	1	0	H05,H06	0	32000
6695	78	30	2025-08-02	8:00:00	1	2	1	I04,I05,I06,I07	1	21200
6696	18	30	2025-08-02	20:00:00	3	1	1	B02,B03,B04,B05,B06	2	70800
6697	37	30	2025-08-02	17:00:00	0	1	1	H02,H03	1	10000
6698	84	30	2025-08-02	23:00:00	1	2	2	F04,F05,F06,F07,F08	1	48000
6699	37	30	2025-08-02	20:00:00	1	0	1	J02,J03	0	28000
6700	17	30	2025-08-02	23:00:00	1	1	2	A01,A02,A03,A04	2	44800
6701	66	30	2025-08-02	20:00:00	2	1	2	J02,J03,J04,J05,J06	0	70000
6702	68	30	2025-08-02	17:00:00	3	0	0	H01,H02,H03	2	46800
6703	19	30	2025-08-02	17:00:00	3	0	1	I01,I02,I03,I04	2	56800
6704	73	30	2025-08-02	14:00:00	0	0	1	D02	1	0
6705	82	30	2025-08-02	11:00:00	2	0	1	B01,B02,B03	1	28000
6706	5	30	2025-08-02	23:00:00	1	2	1	H01,H02,H03,H04	1	38000
6707	92	30	2025-08-02	11:00:00	0	2	0	H01,H02	2	22400
6708	73	30	2025-08-02	8:00:00	3	0	0	H02,H03,H04	1	19800
6709	24	30	2025-08-02	17:00:00	2	0	2	J05,J06,J07,J08	0	56000
6710	59	30	2025-08-02	14:00:00	3	1	1	I03,I04,I05,I06,I07	2	70800
6711	40	30	2025-08-02	8:00:00	2	2	0	F01,F02,F03,F04	0	44800
6712	12	21	2025-08-03	11:00:00	1	0	1	C03,C04	2	20800
6713	85	21	2025-08-03	8:00:00	0	1	1	D04,D05	2	11200
6714	65	21	2025-08-03	8:00:00	1	2	0	E05,E06,E07	0	32200
6715	70	21	2025-08-03	17:00:00	1	0	1	E03,E04	0	28000
6716	98	21	2025-08-03	20:00:00	0	2	2	B01,B02,B03,B04	0	48000
6717	26	21	2025-08-03	17:00:00	0	0	1	A04	0	10000
6718	99	21	2025-08-03	17:00:00	1	0	2	F02,F03,F04	0	38000
6719	92	12	2025-08-03	20:00:00	0	0	1	A04	1	0
6720	62	12	2025-08-03	11:00:00	0	2	0	A03,A04	0	28000
6721	90	12	2025-08-03	20:00:00	2	0	0	A01,A02	1	18000
6722	19	12	2025-08-03	11:00:00	2	2	0	B03,B04,B05,B06	1	46000
6723	22	12	2025-08-03	20:00:00	3	0	1	C02,C03,C04,C05	1	46000
6724	33	21	2025-08-03	20:00:00	2	2	1	A03,A04,A05,A06,A07	0	74000
6725	32	12	2025-08-03	17:00:00	2	2	0	E05,E06,E07,E08	0	64000
6726	31	12	2025-08-03	20:00:00	1	0	1	E03,E04	0	28000
6727	23	12	2025-08-03	8:00:00	1	1	2	C02,C03,C04,C05	2	29200
6728	2	12	2025-08-03	17:00:00	1	1	1	H03,H04,H05	1	24000
6729	87	21	2025-08-03	17:00:00	1	0	0	D01	1	0
6730	30	12	2025-08-03	8:00:00	2	2	0	G05,G06,G07,G08	0	44800
6731	58	12	2025-08-03	11:00:00	0	2	1	E02,E03,E04	0	38000
6732	52	12	2025-08-03	20:00:00	1	0	2	C03,C04,C05	2	30800
6733	82	21	2025-08-03	20:00:00	0	1	2	C02,C03,C04	1	20000
6734	98	21	2025-08-03	8:00:00	2	1	2	E04,E05,E06,E07,E08	1	31000
6735	6	21	2025-08-03	11:00:00	0	0	1	C01	1	0
6736	39	12	2025-08-03	14:00:00	1	2	2	D02,D03,D04,D05,D06	2	58800
6737	37	12	2025-08-03	8:00:00	1	2	1	F01,F02,F03,F04	0	39200
6738	98	21	2025-08-03	11:00:00	2	2	1	C05,C06,C07,C08,C09	1	56000
6739	82	21	2025-08-03	20:00:00	3	0	0	A02,A03,A04	0	54000
6740	35	12	2025-08-03	8:00:00	2	2	1	F03,F04,F05,F06,F07	2	44600
6741	12	12	2025-08-03	17:00:00	1	2	1	E05,E06,E07,E08	0	56000
6742	26	12	2025-08-03	8:00:00	0	1	1	H03,H04	1	2800
6743	38	12	2025-08-03	11:00:00	0	0	1	A02	2	6000
6744	14	12	2025-08-03	11:00:00	1	2	1	H05,H06,H07,H08	2	48800
6745	46	12	2025-08-03	17:00:00	1	1	1	D03,D04,D05	1	24000
6746	27	12	2025-08-03	17:00:00	1	0	2	G02,G03,G04	0	38000
6747	51	21	2025-08-03	23:00:00	1	1	0	C03,C04	1	14000
6748	100	12	2025-08-03	14:00:00	2	1	1	H05,H06,H07,H08	1	42000
6749	53	12	2025-08-03	11:00:00	1	2	0	A03,A04,A05	1	28000
6750	17	12	2025-08-03	23:00:00	0	2	1	D03,D04,D05	0	38000
6751	12	21	2025-08-03	14:00:00	2	0	1	C02,C03,C04	1	28000
6752	19	12	2025-08-03	14:00:00	1	0	2	C03,C04,C05	2	30800
6753	76	12	2025-08-03	23:00:00	0	0	2	C01,C02	1	10000
6754	56	12	2025-08-03	11:00:00	1	1	1	F05,F06,F07	1	24000
6755	14	12	2025-08-03	8:00:00	2	1	0	G01,G02,G03	2	27800
6756	3	12	2025-08-03	23:00:00	0	1	1	G05,G06	1	10000
6757	58	21	2025-08-03	17:00:00	0	0	1	C05	1	0
6758	13	21	2025-08-03	20:00:00	0	2	1	B05,B06,B07	2	32400
6759	72	21	2025-08-03	17:00:00	2	0	0	F04,F05	1	18000
6760	81	12	2025-08-03	23:00:00	0	2	2	D02,D03,D04,D05	0	48000
6761	88	12	2025-08-03	8:00:00	1	2	0	B05,B06,B07	2	25000
6762	75	12	2025-08-03	17:00:00	1	2	0	B05,B06,B07	1	28000
6763	8	12	2025-08-03	20:00:00	0	2	1	C01,C02,C03	0	38000
6764	63	12	2025-08-03	8:00:00	0	0	2	C05,C06	0	14000
6765	15	12	2025-08-03	17:00:00	3	2	0	E04,E05,E06,E07,E08	2	74800
6766	56	21	2025-08-03	20:00:00	2	0	1	A05,A06,A07	1	28000
6767	9	21	2025-08-03	14:00:00	2	0	0	E03,E04	2	28800
6768	55	21	2025-08-03	17:00:00	2	0	1	F03,F04,F05	1	28000
6769	69	12	2025-08-03	23:00:00	1	2	2	H04,H05,H06,H07,H08	0	66000
6770	36	12	2025-08-03	8:00:00	0	0	1	F04	1	0
6771	69	21	2025-08-03	14:00:00	2	2	1	A02,A03,A04,A05,A06	2	66800
6772	49	21	2025-08-03	20:00:00	0	1	0	C02	1	0
6773	81	21	2025-08-03	20:00:00	0	0	2	D02,D03	1	10000
6774	82	13	2025-08-03	20:00:00	0	1	2	D03,D04,D05	1	20000
6775	29	13	2025-08-03	11:00:00	3	0	1	D05,D06,D07,D08	2	56800
6776	31	13	2025-08-03	11:00:00	3	1	1	B03,B04,B05,B06,B07	2	70800
6777	43	13	2025-08-03	14:00:00	0	0	2	A03,A04	2	16000
6778	38	13	2025-08-03	23:00:00	2	1	0	A01,A02,A03	2	42800
6779	38	13	2025-08-03	23:00:00	1	1	0	A02,A03	2	24800
6780	92	13	2025-08-03	11:00:00	1	1	1	C03,C04,C05	1	24000
6781	29	13	2025-08-03	20:00:00	3	1	1	C02,C03,C04,C05,C06	2	70800
6782	22	13	2025-08-03	8:00:00	2	2	1	A02,A03,A04,A05,A06	2	44600
6783	54	13	2025-08-03	17:00:00	0	2	1	C01,C02,C03	0	38000
6784	100	13	2025-08-03	14:00:00	2	0	0	D05,D06	1	18000
6785	1	13	2025-08-03	8:00:00	3	1	0	C03,C04,C05,C06	0	47600
6786	22	13	2025-08-03	17:00:00	1	1	1	A05,A06,A07	0	42000
6787	21	13	2025-08-03	11:00:00	3	1	0	D04,D05,D06,D07	0	68000
6788	60	13	2025-08-03	23:00:00	2	1	2	C05,C06,C07,C08,C09	0	70000
6789	96	13	2025-08-03	14:00:00	3	0	1	C03,C04,C05,C06	0	64000
6790	5	13	2025-08-03	8:00:00	2	0	1	C05,C06,C07	0	32200
6791	84	13	2025-08-03	11:00:00	2	0	0	A02,A03	2	28800
6792	86	13	2025-08-03	8:00:00	2	0	0	D02,D03	2	18000
6793	81	13	2025-08-03	14:00:00	3	0	1	A02,A03,A04,A05	2	56800
6794	31	13	2025-08-03	8:00:00	2	0	2	C04,C05,C06,C07	2	32000
6795	18	13	2025-08-03	23:00:00	1	2	0	C02,C03,C04	1	28000
6796	43	13	2025-08-03	23:00:00	2	1	0	D03,D04,D05	1	32000
6797	49	13	2025-08-03	17:00:00	0	2	1	A04,A05,A06	1	24000
6798	86	13	2025-08-03	17:00:00	1	0	1	C05,C06	2	20800
6799	34	24	2025-08-03	23:00:00	1	0	2	D04,D05,D06	0	38000
6800	36	24	2025-08-03	17:00:00	2	2	0	B05,B06,B07,B08	1	46000
6801	15	24	2025-08-03	11:00:00	2	0	0	A03,A04	1	18000
6802	19	24	2025-08-03	23:00:00	0	2	1	A01,A02,A03	2	32400
6803	23	24	2025-08-03	20:00:00	0	2	2	A04,A05,A06,A07	2	42400
6804	22	24	2025-08-03	20:00:00	0	0	2	D03,D04	1	10000
6805	8	24	2025-08-03	17:00:00	2	1	1	A04,A05,A06,A07	2	52800
6806	97	24	2025-08-03	14:00:00	2	2	1	B03,B04,B05,B06,B07	0	74000
6807	58	24	2025-08-03	23:00:00	2	1	2	C05,C06,C07,C08,C09	0	70000
6808	73	24	2025-08-03	20:00:00	1	1	0	C01,C02	2	24800
6809	67	24	2025-08-03	8:00:00	1	0	1	D03,D04	1	1600
6810	82	24	2025-08-03	14:00:00	3	0	0	C03,C04,C05	2	46800
6811	4	24	2025-08-03	11:00:00	1	1	0	A05,A06	0	32000
6812	34	24	2025-08-03	11:00:00	0	1	2	A03,A04,A05	1	20000
6813	46	24	2025-08-03	8:00:00	3	0	1	C03,C04,C05,C06	2	37600
6814	50	24	2025-08-03	23:00:00	1	2	2	B03,B04,B05,B06,B07	2	58800
6815	59	24	2025-08-03	17:00:00	0	1	1	C01,C02	2	18400
6816	96	24	2025-08-03	23:00:00	1	2	2	C02,C03,C04,C05,C06	1	48000
6817	77	24	2025-08-03	8:00:00	0	1	0	D01	2	4200
6818	24	24	2025-08-03	20:00:00	2	1	2	C03,C04,C05,C06,C07	1	52000
6819	51	24	2025-08-03	8:00:00	3	0	0	D04,D05,D06	2	30600
6820	17	24	2025-08-03	23:00:00	0	0	2	A01,A02	0	20000
6821	26	24	2025-08-03	23:00:00	0	1	0	C02	1	0
6822	15	24	2025-08-03	11:00:00	1	2	0	D05,D06,D07	0	46000
6823	29	17	2025-08-03	20:00:00	3	0	0	H04,H05,H06	1	36000
6824	30	17	2025-08-03	20:00:00	2	2	1	F03,F04,F05,F06,F07	1	56000
6825	88	17	2025-08-03	20:00:00	1	2	1	D02,D03,D04,D05	1	38000
6826	73	17	2025-08-03	20:00:00	0	2	0	A05,A06	1	14000
6827	20	17	2025-08-03	20:00:00	1	0	0	A01	0	18000
6828	69	17	2025-08-03	17:00:00	0	0	1	E01	1	0
6829	13	17	2025-08-03	17:00:00	0	0	2	H04,H05	2	16000
6830	24	17	2025-08-03	8:00:00	0	1	2	E03,E04,E05	2	18200
6831	6	17	2025-08-03	23:00:00	0	0	2	D01,D02	2	16000
6832	83	17	2025-08-03	23:00:00	0	2	2	B05,B06,B07,B08	0	48000
6833	66	17	2025-08-03	14:00:00	0	2	2	F04,F05,F06,F07	2	42400
6834	75	17	2025-08-03	14:00:00	1	1	0	G03,G04	1	14000
6835	81	17	2025-08-03	11:00:00	3	0	0	A03,A04,A05	1	36000
6836	30	17	2025-08-03	8:00:00	1	2	2	G04,G05,G06,G07,G08	2	39000
6837	71	17	2025-08-03	14:00:00	0	2	0	B02,B03	0	28000
6838	11	17	2025-08-03	20:00:00	1	0	0	J01	0	18000
6839	31	17	2025-08-03	23:00:00	0	1	1	J01,J02	1	10000
6840	9	17	2025-08-03	23:00:00	2	0	0	B03,B04	0	36000
6841	87	17	2025-08-03	11:00:00	0	2	0	B02,B03	2	22400
6842	59	17	2025-08-03	17:00:00	0	2	2	A01,A02,A03,A04	1	34000
6843	76	17	2025-08-03	8:00:00	1	2	2	G04,G05,G06,G07,G08	0	46200
6844	2	17	2025-08-03	14:00:00	3	1	1	A04,A05,A06,A07,A08	2	70800
6845	15	17	2025-08-03	20:00:00	0	1	2	I04,I05,I06	1	20000
6846	88	17	2025-08-03	17:00:00	1	1	1	H01,H02,H03	1	24000
6847	22	17	2025-08-03	8:00:00	0	2	2	A04,A05,A06,A07	1	19600
6848	83	17	2025-08-03	23:00:00	1	2	2	B05,B06,B07,B08,B09	2	58800
6849	54	17	2025-08-03	17:00:00	0	0	2	F02,F03	2	16000
6850	85	17	2025-08-03	8:00:00	1	0	0	H03	2	5400
6851	73	17	2025-08-03	8:00:00	0	1	0	H05	1	0
6852	76	30	2025-08-03	11:00:00	0	1	2	D01,D02,D03	2	28400
6853	57	30	2025-08-03	17:00:00	1	0	2	H02,H03,H04	1	20000
6854	69	30	2025-08-03	23:00:00	3	0	0	H03,H04,H05	0	54000
6855	94	30	2025-08-03	23:00:00	3	0	2	H02,H03,H04,H05,H06	1	56000
